urea,trp_1,trp_2,trp_3,tme_1,tme_2,tme_3
0,132453,135394,134784,22241,21566,21674
1,129588,131774,131768,22626,22439,22040
2,130084,131690,129816,23263,23595,22995
3,130534,130598,128487,24162,24067,23639
3.5,130167,131491,130080,25184,25104,25072
4,130461,132442,129612,27078,26651,26836
4.25,131776,131756,130440,28892,28076,30300
4.5,130446,132333,130399,31441,31700,31228
4.75,132253,133818,133419,36061,35639,37071
5,134652,133639,134086,42482,42017,42366
5.25,136202,136196,133338,52910,48236,50388
5.5,140309,142481,136196,68000,68237,67604
5.75,143499,143137,141545,86932,89333,86853
6,149914,149142,145527,109734,108052,107915
6.25,154290,152694,149814,131481,132288,129564
6.5,157864,154533,152723,139853,144297,138969
6.75,158674,156292,152083,133143,151314,140104
7,160918,160864,156824,145737,150804,139703
7.25,163080,162393,158431,138676,141303,133565
7.5,163688,164010,160707,129409,135827,127540
7.75,165605,169463,161880,126483,125871,115526
8,168031,170892,164936,116030,115389,107545
8.5,169671,172719,168807,92160,98455,88345
9,171498,174843,171106,77993,78792,73452
