GSH,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
0,5175,5289,5162,5401,147944,144284,145856,146037,4018,3957,7296,4673
0.025,5204,5319,5127,5347,139252,140171,139210,136326,4562,4549,4590,4610
0.05,5140,5142,5206,5166,143284,142457,144896,139574,4624,4806,4784,4775
0.075,5321,5417,5352,5450,129627,127196,137453,138455,4785,4667,4677,4726
0.1,5171,5156,5211,5057,132250,133140,136899,133946,4724,4835,4754,4887
0.2,5212,5397,5336,5318,125375,131873,118394,122267,4966,4768,4830,4963
0.5,5187,5321,5311,5156,111814,114552,115077,122264,4995,5007,4878,4860
1,5534,5371,5472,5505,95792,93333,93864,96420,5003,4904,4960,4953
2,5492,5496,5408,5711,74483,76116,84410,81167,5112,5105,5204,5105
4,5783,5505,5554,5424,58422,57698,56148,55536,5027,5130,5109,5207
6,5471,5408,5456,5382,51829,56455,55687,58066,5125,5108,5116,5158
8,6222,6954,6952,6844,63658,68841,69882,69440,5047,5020,4910,5198
