time,F1,F2,F3,F4,U1,U2,U3,U4
0,7704,7462,7408,7366,7732,7627,7244,8227
1,31324,30635,30824,31111,70470,71269,70982,69657
2,31675,31545,31111,31199,104998,104413,105509,102569
5,32868,31853,31626,31640,146884,146606,147162,144403
10,32096,31556,31087,31396,158508,155350,154938,150888
20,32819,32444,33267,33162,151446,150725,149791,151137
30,34673,34946,34701,34213,156108,155416,155560,152590
40,35205,33649,35762,35214,159155,159100,158622,159280
60,36645,36687,35799,36176,151156,158027,155089,156274
80,35146,35972,35043,36941,158189,156371,156032,160619
100,35448,37551,35592,35833,160998,160974,160567,162057
120,37177,36965,36804,37756,167149,166330,165306,165598
