time,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4
0,5798,5579,5563,5694,5887,5637,5616,5504,5830,5885,5807,5647,5898,5860,5978,5728,5719,5769,5808,5595,5698,5751,5602,5873
1,6735,6729,6715,6552,6108,6141,6188,6096,11516,11658,11213,11262,8394,8518,8306,8331,17334,17077,17141,17026,7805,7785,7754,7385
2,6172,6420,6388,6263,6850,6616,6650,6745,14612,14055,14012,14080,10299,10427,10160,10065,22589,22937,22422,22265,7453,7553,7538,7464
5,6181,6273,6296,6380,6423,6398,6330,6620,17773,17636,17317,17132,11143,11230,10910,11075,34482,34786,34016,34357,8033,7964,8015,7931
10,6430,6325,6371,6333,6343,6148,6382,6262,28030,27889,28055,27272,14775,14907,14659,14521,51433,50891,50765,50744,8481,8433,8338,8202
20,6615,6654,6628,6714,6485,6799,6411,6465,36954,36995,37015,36733,19636,19942,19450,19315,80530,80471,79517,79530,8942,9000,8939,8590
30,6871,6624,6856,6886,6564,6798,6539,6681,45374,45042,45020,45231,24134,24159,23761,24028,108562,108776,106604,106605,9188,9013,8971,8795
40,6868,6864,6818,6639,6641,6775,6564,6722,46121,46062,46052,45982,27136,26628,26490,26040,148339,144063,143701,146281,9676,9633,9767,9654
60,17089,16634,16694,16230,6659,6935,6760,6796,47047,46844,47063,47522,31936,32239,31345,31188,146237,146661,144850,145283,10206,10035,9833,10134
80,7170,7291,7271,7250,6843,6712,6895,6695,51614,51146,51528,51623,38139,38493,38104,37930,155724,154525,155019,153885,10636,10568,10604,10670
100,7062,7071,7029,6924,6899,7097,6974,6890,50873,51427,51180,50642,42575,43076,42429,41976,159612,158351,153129,153938,11136,11305,11056,10995
120,7456,7664,7507,7768,7301,7073,6920,6943,56567,56460,56626,55880,46822,46670,45804,45456,162217,161949,161697,160207,11366,11371,11528,11390
